,Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
158,9.0,23.0,4,Fashion,3,Married,6,1,1.0,201.32,No Churn
159,2.0,26.0,3,Mobile Phone,1,Married,2,0,10.0,138.12,No Churn
160,10.0,14.0,3,Laptop & Accessory,4,Married,3,0,7.0,140.71,No Churn
161,1.0,14.0,5,Laptop & Accessory,3,Divorced,4,0,1.0,186.32,No Churn
163,21.0,9.0,2,Grocery,4,Married,8,0,3.0,284.72,No Churn
165,11.0,16.0,3,Laptop & Accessory,3,Married,4,0,2.0,160.77,No Churn
166,31.0,10.0,5,Laptop & Accessory,1,Single,7,0,6.0,176.71,No Churn
168,4.0,11.0,3,Laptop & Accessory,5,Single,1,0,7.0,199.36,No Churn
169,17.0,34.0,3,Grocery,5,Divorced,4,0,17.0,263.28,No Churn
170,7.0,10.0,3,Laptop & Accessory,3,Married,10,0,2.0,165.38,No Churn
171,20.0,8.0,3,Others,4,Single,8,1,8.0,292.46,Churn
172,8.0,29.0,5,Laptop & Accessory,1,Married,3,1,12.0,182.47,No Churn
173,1.0,16.0,6,Mobile Phone,4,Single,3,0,3.0,152.6,Churn
175,27.0,13.0,4,Laptop & Accessory,3,Divorced,4,1,6.0,148.06,No Churn
176,16.0,7.0,5,Laptop & Accessory,2,Divorced,11,1,3.0,185.62,No Churn
177,16.0,9.0,4,Laptop & Accessory,1,Married,3,0,3.0,165.89,No Churn
179,10.0,33.0,4,Laptop & Accessory,3,Married,8,0,3.0,178.47,No Churn
180,10.0,30.0,2,Laptop & Accessory,1,Married,6,0,4.0,150.71,No Churn
181,3.0,11.0,3,Mobile,5,Married,6,0,30.0,132.04,No Churn
182,0.0,24.0,1,Laptop & Accessory,3,Divorced,3,0,2.0,162.32,No Churn
183,12.0,16.0,3,Laptop & Accessory,5,Married,3,0,7.0,153.77,No Churn
184,6.0,17.0,4,Laptop & Accessory,1,Single,10,0,1.0,171.48,No Churn
185,11.0,18.0,4,Laptop & Accessory,5,Married,3,0,2.0,162.88,No Churn
186,6.0,7.0,5,Mobile Phone,4,Married,2,0,3.0,147.69,No Churn
187,4.0,6.0,3,Laptop & Accessory,5,Married,2,0,3.0,141.48,No Churn
188,17.0,9.0,4,Mobile Phone,1,Single,2,0,9.0,160.39,No Churn
189,7.0,21.0,3,Fashion,2,Divorced,2,0,5.0,179.78,Churn
190,8.0,15.0,4,Laptop & Accessory,5,Married,7,0,3.0,190.0,No Churn
191,15.0,9.0,5,Laptop & Accessory,3,Single,4,1,8.0,193.11,No Churn
192,31.0,9.0,5,Grocery,2,Single,5,1,4.0,262.26,No Churn
193,16.0,14.0,3,Laptop & Accessory,4,Married,5,0,0.0,147.65,No Churn
195,3.0,12.0,4,Laptop & Accessory,1,Married,5,0,1.0,145.86,Churn
196,11.0,7.0,5,Mobile Phone,5,Divorced,4,0,3.0,164.2,No Churn
197,0.0,5.0,4,Mobile,3,Single,2,0,2.0,130.33,No Churn
199,11.0,11.0,4,Mobile Phone,3,Divorced,9,1,4.0,154.96,No Churn
200,0.0,22.0,3,Fashion,5,Single,3,1,0.0,185.64,Churn
201,10.0,13.0,2,Mobile Phone,1,Married,5,0,1.0,155.38,No Churn
202,1.0,22.0,4,Mobile Phone,3,Married,3,0,3.0,151.1,Churn
204,1.0,6.0,4,Laptop & Accessory,1,Married,2,1,7.0,168.34,No Churn
205,9.0,9.0,4,Laptop & Accessory,1,Married,4,0,8.0,182.62,No Churn
206,2.0,10.0,4,Mobile Phone,4,Married,3,0,1.0,153.56,No Churn
207,30.0,15.0,4,Mobile Phone,5,Married,6,1,3.0,167.57,No Churn
208,12.0,23.0,4,Laptop & Accessory,4,Single,4,0,3.0,166.98,No Churn
209,8.0,22.0,3,Fashion,3,Married,5,1,0.0,176.32,No Churn
210,22.0,26.0,3,Laptop & Accessory,5,Married,2,0,11.0,165.67,No Churn
211,8.0,33.0,3,Laptop & Accessory,3,Married,3,0,7.0,168.83,No Churn
212,20.0,32.0,3,Others,3,Married,4,0,0.0,296.58,No Churn
214,20.0,20.0,3,Laptop & Accessory,4,Married,9,0,7.0,154.67,No Churn
215,0.0,10.0,3,Mobile,2,Single,2,1,2.0,128.75,No Churn
216,28.0,24.0,4,Fashion,3,Married,10,0,9.0,232.39,No Churn
217,22.0,7.0,2,Grocery,1,Single,4,0,2.0,293.85,No Churn
218,16.0,21.0,4,Grocery,3,Married,2,0,11.0,276.03,No Churn
219,7.0,9.0,5,Laptop & Accessory,1,Single,6,0,2.0,160.29,No Churn
220,1.0,28.0,4,Mobile Phone,3,Married,3,0,1.0,148.77,Churn
223,4.0,8.0,4,Laptop & Accessory,5,Divorced,4,0,0.0,164.1,No Churn
224,25.0,13.0,5,Mobile Phone,3,Single,2,0,8.0,153.38,No Churn
225,14.0,33.0,4,Laptop & Accessory,5,Married,3,0,6.0,208.96,No Churn
226,4.0,9.0,4,Mobile Phone,4,Divorced,3,0,1.0,149.76,No Churn
227,18.0,15.0,4,Laptop & Accessory,3,Divorced,2,0,12.0,155.93,No Churn
229,18.0,27.0,4,Mobile Phone,4,Single,3,0,4.0,159.2,No Churn
230,11.0,17.0,4,Laptop & Accessory,4,Single,4,1,2.0,166.97,No Churn
231,8.0,18.0,5,Laptop & Accessory,4,Married,6,0,9.0,169.9,No Churn
235,18.0,35.0,4,Grocery,5,Married,5,0,18.0,288.28,No Churn
236,13.0,11.0,4,Laptop & Accessory,3,Single,2,0,9.0,175.42,No Churn
237,31.0,22.0,4,Grocery,3,Married,4,1,3.0,282.87,No Churn
238,0.0,17.0,1,Laptop & Accessory,3,Married,9,0,2.0,147.07,Churn
239,1.0,25.0,2,Mobile Phone,5,Married,2,0,1.0,154.56,Churn
240,1.0,14.0,4,Mobile Phone,4,Single,3,1,1.0,149.72,Churn
241,20.0,22.0,4,Others,4,Divorced,7,0,4.0,315.81,No Churn
242,4.0,11.0,3,Mobile Phone,1,Married,1,1,3.0,148.21,No Churn
243,1.0,7.0,3,Mobile Phone,5,Married,2,0,2.0,135.91,No Churn
244,8.0,22.0,4,Laptop & Accessory,4,Married,1,1,2.0,147.88,No Churn
245,13.0,15.0,3,Laptop & Accessory,3,Married,4,0,7.0,139.75,No Churn
246,1.0,16.0,4,Mobile Phone,4,Single,3,0,4.0,147.79,No Churn
247,25.0,17.0,3,Laptop & Accessory,3,Divorced,9,0,4.0,131.49,No Churn
250,0.0,22.0,5,Mobile Phone,5,Single,2,1,7.0,139.19,Churn
251,15.0,35.0,5,Grocery,4,Married,2,0,11.0,260.7,No Churn
252,7.0,16.0,3,Laptop & Accessory,3,Married,2,1,7.0,140.01,No Churn
254,11.0,6.0,4,Mobile,5,Single,5,0,0.0,128.58,No Churn
255,24.0,7.0,4,Laptop & Accessory,3,Married,2,0,14.0,188.47,No Churn
256,29.0,21.0,2,Others,4,Single,10,0,16.0,312.22,No Churn
257,15.0,12.0,3,Fashion,5,Married,10,0,7.0,233.48,No Churn
259,4.0,14.0,3,Laptop & Accessory,1,Single,2,0,8.0,144.24,No Churn
261,0.0,8.0,4,Mobile,1,Single,8,0,0.0,127.85,Churn
262,7.0,6.0,1,Mobile,1,Single,3,0,3.0,132.8,No Churn
263,2.0,11.0,4,Laptop & Accessory,3,Married,3,0,5.0,167.21,No Churn
264,9.0,34.0,5,Mobile Phone,5,Single,3,0,2.0,150.59,No Churn
265,4.0,8.0,3,Mobile,3,Married,1,0,2.0,130.67,No Churn
266,10.0,18.0,5,Laptop & Accessory,1,Married,6,0,1.0,191.52,No Churn
268,7.0,32.0,4,Laptop & Accessory,3,Divorced,3,0,2.0,170.39,No Churn
269,1.0,7.0,6,Mobile Phone,4,Single,9,1,8.0,147.16,Churn
270,0.0,9.0,4,Fashion,1,Married,2,1,7.0,203.25,Churn
271,19.0,11.0,4,Laptop & Accessory,4,Divorced,3,0,9.0,169.47,No Churn
272,16.0,32.0,3,Grocery,1,Married,2,1,12.0,269.59,No Churn
273,4.0,9.0,5,Mobile Phone,5,Single,2,0,8.0,174.68,No Churn
274,16.0,36.0,4,Laptop & Accessory,3,Married,4,0,3.0,170.56,No Churn
275,0.0,12.0,3,Mobile,5,Single,3,0,3.0,129.6,Churn
277,30.0,13.0,1,Laptop & Accessory,1,Married,1,1,9.0,152.2,No Churn
278,15.0,7.0,4,Laptop & Accessory,5,Married,2,0,8.0,166.03,No Churn
279,6.0,9.0,4,Laptop & Accessory,3,Single,6,1,8.0,174.98,No Churn
281,30.0,13.0,3,Others,5,Divorced,6,0,10.0,295.66,No Churn
283,5.0,14.0,5,Mobile Phone,3,Divorced,5,0,3.0,148.29,No Churn
284,1.0,27.0,3,Mobile,2,Divorced,2,0,2.0,127.13,No Churn
285,7.0,9.0,4,Laptop & Accessory,1,Married,3,0,5.0,180.05,No Churn
287,1.0,13.0,4,Mobile Phone,1,Married,3,1,3.0,81.0,No Churn
288,2.0,23.0,3,Laptop & Accessory,5,Single,2,0,8.0,181.61,No Churn
290,16.0,19.0,4,Mobile Phone,4,Married,10,0,5.0,152.66,No Churn
291,19.0,9.0,1,Grocery,5,Married,3,0,8.0,232.25,No Churn
292,16.0,14.0,2,Laptop & Accessory,4,Married,8,1,1.0,148.72,No Churn
293,11.0,9.0,3,Laptop & Accessory,2,Single,9,1,0.0,168.61,No Churn
294,10.0,21.0,4,Laptop & Accessory,1,Married,2,1,12.0,190.86,No Churn
295,15.0,14.0,6,Others,3,Married,3,0,11.0,324.73,No Churn
296,14.0,14.0,4,Others,4,Single,3,0,9.0,323.33,No Churn
297,1.0,31.0,2,Mobile Phone,5,Single,3,0,1.0,135.91,Churn
298,23.0,8.0,3,Grocery,3,Married,6,0,3.0,276.39,No Churn
299,13.0,32.0,3,Laptop & Accessory,4,Married,2,0,13.0,156.05,No Churn
300,0.0,6.0,3,Mobile,4,Single,2,1,4.0,132.02,Churn
301,19.0,13.0,3,Laptop & Accessory,3,Married,3,0,0.0,152.58,No Churn
303,25.0,14.0,3,Mobile,5,Married,10,0,4.0,129.5,No Churn
305,1.0,7.0,6,Laptop & Accessory,4,Single,8,0,1.0,192.35,Churn
306,19.0,14.0,3,Laptop & Accessory,3,Divorced,6,0,3.0,189.34,No Churn
307,6.0,31.0,3,Laptop & Accessory,3,Married,2,0,1.0,145.39,No Churn
308,1.0,32.0,4,Laptop & Accessory,5,Married,2,0,4.0,147.24,No Churn
309,16.0,12.0,4,Mobile Phone,3,Married,6,0,1.0,145.93,No Churn
310,9.0,13.0,4,Mobile Phone,3,Divorced,2,1,3.0,160.06,No Churn
311,1.0,26.0,3,Laptop & Accessory,2,Single,10,1,5.0,178.04,Churn
312,7.0,9.0,4,Mobile Phone,2,Single,2,0,3.0,150.0,No Churn
313,1.0,25.0,2,Laptop & Accessory,3,Divorced,4,0,3.0,187.32,No Churn
314,8.0,17.0,4,Mobile Phone,3,Divorced,3,1,1.0,147.2,No Churn
318,7.0,12.0,5,Mobile Phone,1,Married,3,0,3.0,154.11,No Churn
319,16.0,16.0,4,Mobile Phone,1,Single,3,0,9.0,161.73,No Churn
320,3.0,16.0,4,Laptop & Accessory,3,Married,2,0,4.0,165.78,No Churn
321,11.0,8.0,3,Mobile Phone,1,Single,6,1,2.0,139.44,No Churn
323,13.0,11.0,4,Fashion,5,Divorced,6,1,12.0,204.75,No Churn
324,17.0,22.0,5,Grocery,3,Married,3,0,12.0,301.03,No Churn
325,11.0,12.0,5,Laptop & Accessory,1,Married,8,1,9.0,153.29,No Churn
326,7.0,15.0,4,Laptop & Accessory,3,Single,4,1,1.0,188.88,No Churn
327,6.0,12.0,5,Laptop & Accessory,4,Married,5,0,6.0,183.78,No Churn
328,11.0,10.0,3,Mobile,3,Married,8,0,0.0,133.06,No Churn
329,15.0,32.0,3,Fashion,5,Married,4,1,0.0,231.91000000000005,No Churn
330,13.0,35.0,5,Laptop & Accessory,5,Single,5,0,4.0,167.84,Churn
331,6.0,12.0,4,Mobile Phone,4,Single,4,0,8.0,152.18,No Churn
332,7.0,8.0,3,Laptop & Accessory,1,Single,2,0,4.0,162.74,No Churn
333,0.0,13.0,5,Laptop & Accessory,3,Single,2,1,6.0,160.74,Churn
334,16.0,9.0,5,Laptop & Accessory,2,Single,5,0,1.0,192.81,No Churn
335,5.0,17.0,4,Laptop & Accessory,1,Married,4,1,5.0,190.83,No Churn
336,19.0,8.0,3,Fashion,1,Married,5,1,3.0,203.68,No Churn
338,0.0,13.0,4,Laptop & Accessory,5,Single,9,0,7.0,168.11,No Churn
339,20.0,31.0,4,Mobile Phone,1,Single,3,0,1.0,150.87,Churn
340,8.0,7.0,4,Laptop & Accessory,4,Married,3,0,4.0,168.25,No Churn
341,12.0,8.0,4,Laptop & Accessory,1,Married,9,0,4.0,152.04,No Churn
342,1.0,8.0,4,Mobile Phone,3,Married,3,0,2.0,137.23,No Churn
343,4.0,13.0,3,Fashion,5,Married,3,0,2.0,196.37,No Churn
344,9.0,7.0,5,Mobile Phone,5,Single,3,0,3.0,149.5,No Churn
345,12.0,16.0,5,Mobile Phone,4,Divorced,2,0,3.0,153.99,No Churn
346,25.0,7.0,4,Mobile Phone,2,Divorced,3,0,1.0,152.23,No Churn
348,21.0,9.0,4,Grocery,1,Married,3,1,1.0,292.52,No Churn
349,7.0,8.0,1,Mobile,1,Married,1,1,2.0,129.32,No Churn
351,7.0,12.0,3,Laptop & Accessory,3,Single,2,0,10.0,148.09,No Churn
352,3.0,16.0,3,Fashion,3,Single,10,0,2.0,196.67,No Churn
353,0.0,9.0,3,Mobile,5,Single,1,0,4.0,131.02,Churn
354,1.0,13.0,2,Mobile Phone,5,Married,3,1,1.0,141.01,Churn
355,13.0,8.0,3,Laptop & Accessory,4,Married,4,0,10.0,156.77,No Churn
356,0.0,8.0,3,Mobile,4,Married,10,0,2.0,134.68,No Churn
358,17.0,11.0,4,Mobile,3,Single,4,0,3.0,131.62,No Churn
361,14.0,15.0,4,Laptop & Accessory,1,Married,5,1,3.0,165.69,No Churn
363,9.0,9.0,6,Others,4,Single,4,1,12.0,313.24,Churn
364,0.0,15.0,4,Mobile,5,Single,8,0,3.0,134.07,Churn
365,20.0,33.0,5,Laptop & Accessory,4,Single,10,0,3.0,204.91,No Churn
366,17.0,16.0,3,Laptop & Accessory,1,Married,3,1,3.0,164.65,No Churn
367,17.0,35.0,2,Mobile Phone,3,Single,6,0,3.0,172.39,No Churn
370,0.0,10.0,5,Fashion,2,Divorced,2,0,8.0,204.0,Churn
371,1.0,17.0,5,Mobile Phone,3,Single,3,0,3.0,151.25,Churn
372,0.0,6.0,3,Mobile Phone,4,Married,2,0,4.0,138.16,No Churn
373,20.0,7.0,4,Others,2,Married,11,0,3.0,321.27,No Churn
374,21.0,21.0,4,Laptop & Accessory,5,Single,4,0,8.0,174.6,No Churn
375,29.0,15.0,4,Grocery,3,Married,4,1,3.0,272.56,No Churn
376,23.0,7.0,4,Mobile Phone,5,Married,4,0,3.0,160.8,No Churn
377,13.0,15.0,3,Fashion,3,Single,10,0,13.0,234.99,No Churn
378,6.0,13.0,4,Mobile Phone,3,Single,5,0,5.0,155.38,No Churn
379,4.0,14.0,4,Mobile Phone,5,Single,5,1,4.0,146.66,Churn
381,5.0,9.0,5,Laptop & Accessory,5,Divorced,5,0,1.0,189.1,No Churn
382,6.0,15.0,5,Laptop & Accessory,3,Single,9,0,3.0,153.46,Churn
383,3.0,10.0,4,Laptop & Accessory,4,Married,2,1,7.0,152.09,No Churn
384,5.0,14.0,1,Laptop & Accessory,3,Divorced,6,0,3.0,151.75,No Churn
385,1.0,6.0,5,Mobile Phone,3,Single,3,0,3.0,155.33,No Churn
386,11.0,17.0,4,Mobile Phone,5,Married,2,1,4.0,152.82,No Churn
387,10.0,25.0,3,Fashion,4,Single,2,1,9.0,176.42,No Churn
388,27.0,9.0,5,Grocery,1,Married,4,0,8.0,279.27,No Churn
390,1.0,10.0,4,Mobile Phone,5,Single,2,0,5.0,156.02,Churn
391,27.0,13.0,4,Laptop & Accessory,1,Single,4,0,3.0,149.5,No Churn
392,5.0,16.0,3,Laptop & Accessory,1,Single,2,0,8.0,153.96,No Churn
393,17.0,6.0,4,Laptop & Accessory,3,Single,5,0,2.0,159.85,No Churn
394,28.0,14.0,4,Grocery,4,Married,2,1,0.0,235.77,No Churn
395,6.0,17.0,4,Laptop & Accessory,1,Single,3,0,9.0,178.96,No Churn
396,1.0,7.0,5,Mobile Phone,4,Single,3,0,1.0,153.36,No Churn
397,3.0,28.0,3,Fashion,5,Married,1,0,8.0,184.12,No Churn
399,16.0,12.0,4,Grocery,2,Married,5,1,0.0,266.27,No Churn
400,14.0,9.0,5,Mobile Phone,3,Single,4,0,3.0,153.09,No Churn
401,13.0,8.0,3,Mobile,5,Married,5,0,2.0,133.77,No Churn
402,9.0,12.0,5,Mobile,3,Married,2,0,7.0,127.41,No Churn
403,17.0,8.0,3,Fashion,3,Single,6,1,2.0,202.09,No Churn
404,16.0,12.0,4,Grocery,1,Married,5,1,0.0,266.27,No Churn
405,19.0,9.0,3,Grocery,3,Divorced,4,0,9.0,274.65,No Churn
407,6.0,31.0,3,Laptop & Accessory,3,Divorced,2,0,1.0,145.39,No Churn
408,14.0,12.0,4,Laptop & Accessory,4,Single,7,1,2.0,160.32,No Churn
409,8.0,13.0,4,Mobile,1,Married,2,0,1.0,126.9,No Churn
